commentId	sourceItemURL	commentTitle	SourceItemId	sourceItemTitle	createDate	TookIntoConsideration	TookIntoConsiderationReason	Remark	commentState
2165	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-8 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:04PM	Неразгледан			Одобрен
2163	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-6 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:03PM	Неразгледан			Одобрен
2164	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-7 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:03PM	Неразгледан			Одобрен
2162	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-5 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:02PM	Неразгледан			Одобрен
2161	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-4 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:01PM	Неразгледан			Одобрен
2159	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-2 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:00PM	Неразгледан			Одобрен
2160	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-3 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:00PM	Неразгледан			Одобрен
2158	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТНОСНО  ПРОЕКТ НА ПОСТАНОВЛЕНИЕ НА МИНИСТЕРСКИЯ СЪВЕТ ЗА ИЗМЕНЕНИЕ И ДОПЪЛНЕНИЕ  НА ПРАВИ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  4:57PM	Неразгледан			Одобрен
2157	https://localhost:44300/PublicConsultation/View/2184	Становище	2184	Проект на Постановление на Министерския съвет за приемане на Наредба за обхвата и методологията за извършване на оценка на въздействието	Sep 21 2016  1:47PM	Неразгледан			Одобрен
2155	https://localhost:44300/PublicConsultation/View/2197	Предложение за допълнения в проекта за Правилник за прилагане на Закона за социално подпомагане	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 20 2016  9:12PM	Неразгледан			Одобрен
2153	https://localhost:44300/PublicConsultation/View/2208	Кой е вносител на този документ???	2208	Проект на Устройствен правилник на Държавна агенция &quot;Електронно управление&quot;	Sep 20 2016  9:12AM	Неразгледан			Одобрен
2154	https://localhost:44300/PublicConsultation/View/2208	Предложение за промяна	2208	Проект на Устройствен правилник на Държавна агенция &quot;Електронно управление&quot;	Sep 20 2016  3:19PM	Неразгледан			Одобрен
757	https://localhost:44300/PublicConsultation/View/985	Предложение № 10 се отнася до услугата &quot;Предоставяне на винетни стикери на хора с трайни увреждания&quot;	985	Втори пакет с предложения за намаляване на административната тежест	Sep 20 2013  8:54AM	Неразгледан			Одобрен
758	https://localhost:44300/PublicConsultation/View/985	Поздравления	985	Втори пакет с предложения за намаляване на административната тежест	Sep 20 2013  6:17PM	Неразгледан			Одобрен
3052	https://localhost:44300/PublicConsultation/View/2872	Рентгенови уредби за образна диагностика	2872	Обществени консултации по проект на Закон за изменение и допълнение на Закона за безопасно използване на ядрената енергия	Sep 19 2017  2:56PM	Неразгледан			Одобрен
2152	https://localhost:44300/PublicConsultation/View/2208	Липсва Приложение за числеността на персонала.	2208	Проект на Устройствен правилник на Държавна агенция &quot;Електронно управление&quot;	Sep 19 2016  2:18PM	Неразгледан			Одобрен
3051	https://localhost:44300/PublicConsultation/View/2908	Предпоставки за тълкувания	2908	Проект на Наредба за изменение на Наредба № 4 от 24.10.2016 г. за определяне заболяванията и отклоненията, които застрашават живота и здравето на децата и учениците	Sep 18 2017  7:31PM	Неразгледан			Одобрен
1417	https://localhost:44300/PublicConsultation/View/1745	Доста несъвършени и неточни предложения	1745	Проект на Решение на Министерския съвет за одобряване проект на Закон за изменение и допълнение на Закона за лова и опазване на дивеча	Sep 18 2015  1:03AM	Неразгледан			Одобрен
3049	https://localhost:44300/PublicConsultation/View/2874	Становище на Национална мрежа за децата - част 3	2874	Проект на Правилник за изменение и допълнение на Правилника за дейността и организацията на работа на Център „Фонд за лечение на деца“	Sep 17 2017 12:45PM	Неразгледан			Одобрен
3048	https://localhost:44300/PublicConsultation/View/2874	Становище на Национална мрежа за децата - част 2	2874	Проект на Правилник за изменение и допълнение на Правилника за дейността и организацията на работа на Център „Фонд за лечение на деца“	Sep 17 2017 12:44PM	Неразгледан			Одобрен
3047	https://localhost:44300/PublicConsultation/View/2874	Становище на Национална мрежа за децата - част 1	2874	Проект на Правилник за изменение и допълнение на Правилника за дейността и организацията на работа на Център „Фонд за лечение на деца“	Sep 17 2017 12:43PM	Неразгледан			Одобрен
3050	https://localhost:44300/PublicConsultation/View/2869	изчистване на сроковете в наредбата	2869	Проект на Наредба за изменение и допълнение на Наредба № 20 от 2015 г. за прилагане на подмярка 4.2 „Инвестиции в преработка/маркетинг на селскостопански продукти&quot; от мярка 4 „Инвестиции в материални активи&quot; от ПРСР 2014-2020 г.	Sep 17 2017 11:05PM	Неразгледан			Одобрен
2151	https://localhost:44300/PublicConsultation/View/2207	Подаване на декларация по чл. 50 ЗДДФЛ по електронен път	2207	Проект на Закон за изменение и допълнение на Закона за акцизите и данъчните складове (ЗАДС)	Sep 17 2016  5:05PM	Неразгледан			Одобрен
3046	https://localhost:44300/PublicConsultation/View/2862	Позиция относно проекта на ПМС за изменение и допълнение на нормативни актове на Министерски съвет.	2862	Проект на Постановление на Министерския съвет за изменение нормативни актове	Sep 16 2017  5:56PM	Неразгледан			Одобрен
3045	https://localhost:44300/PublicConsultation/View/2861	Позиция по проекта за закон за изменение и допълнение на закона за опазване на околната среда	2861	Проект на Закон за изменение и допълнение на Закона за опазване на околната среда	Sep 16 2017  5:52PM	Неразгледан			Одобрен
1416	https://localhost:44300/PublicConsultation/View/1752	Ползване на тоалетна за лични и служебни нужди	1752	Проект на Закон за изменение и допълнение на Закона за корпоративното подоходно облагане	Sep 16 2015  4:39PM	Неразгледан			Одобрен
3044	https://localhost:44300/PublicConsultation/View/2864	Становище на БСК	2864	Проект на Постановление на Министерския съвет за приемане на Устройствен правилник на Министерството на околната среда и водите и за изменение на Устройствения правилник на Изпълнителната агенция по околна среда	Sep 15 2017  4:19PM	Неразгледан			Одобрен
1415	https://localhost:44300/PublicConsultation/View/1752	Няма достатъчно информация!	1752	Проект на Закон за изменение и допълнение на Закона за корпоративното подоходно облагане	Sep 15 2015  7:21PM	Неразгледан			Одобрен
123	https://localhost:44300/PublicConsultation/View/66	гг	66	Проект на Закон за изменение и допълнение на Закона за ветеринарномедицинската дейност	Sep 15 2008  7:05PM	Неразгледан			Изтрит
3042	https://localhost:44300/PublicConsultation/View/2898	Предложение за допълнение на Доклада за предприетите мерки по прилагането на Плана за действие за из	2898	ПРОЕКТ НА ДОКЛАД ЗА ПРЕДПРИЕТИТЕ МЕРКИ ПО ПРИЛАГАНЕТО НА ПЛАНА ЗА ДЕЙСТВИЕ ЗА ИЗПЪЛНЕНИЕ НА ЗАКЛЮЧИТЕЛНИТЕ ПРЕПОРЪКИ НА КОМИТЕТА ЗА ПРЕМАХВАНЕ НА ВСИЧКИ ФОРМИ НА ДИСКРИМИНАЦИЯ ПО ОТНОШЕНИЕ НА ЖЕНИТЕ	Sep 14 2017 12:13PM	Неразгледан			Одобрен
3041	https://localhost:44300/PublicConsultation/View/2920	Форматът е неудобен за работа!	2920	Проект на Закон за допълнение на Закона за данъка върху добавената стойност	Sep 14 2017 10:58AM	Неразгледан			Одобрен
3040	https://localhost:44300/PublicConsultation/View/2850	Редакция на промените в ДОПК	2850	Проект на Закон за изменение и допълнение на Данъчно-осигурителния процесуален кодекс	Sep 14 2017 10:20AM	Неразгледан			Одобрен
3039	https://localhost:44300/PublicConsultation/View/2903	Дискреминация на жените родени 1960 г	2903	ПРОЕКТ НА ДОКЛАД ЗА РАВНОПОСТАВЕНОСТТА НА ЖЕНИТЕ И МЪЖЕТЕ В БЪЛГАРИЯ ЗА 2016 Г.	Sep 14 2017  9:48AM	Неразгледан			Одобрен
3043	https://localhost:44300/PublicConsultation/View/2870	Предложения и забележки	2870	Наредба за изменение и допълнение на Наредба № 11 от 2007 г. за условията и реда за признаване на организации на производители на плодове и зеленчуци и на техните асоциации и за условията и реда за одобряване и изменение на одобрените оперативни програми	Sep 14 2017  4:03PM	Неразгледан			Одобрен
2150	https://localhost:44300/PublicConsultation/View/2188	Време за заключения и изводи	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 14 2016 12:01AM	Неразгледан			Одобрен
2149	https://localhost:44300/PublicConsultation/View/2188	...	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 14 2016 12:00AM	Неразгледан			Одобрен
3037	https://localhost:44300/PublicConsultation/View/2901	Допълнения към проект за създаване на ИА ОП НОИР	2901	Проект на Постановление на Министерския съвет за създаване на Изпълнителна агенция „Оперативна програма Наука и образование за интелигентен растеж“  (ИА &quot;ОП  НОИР&quot;) и за приемане на Устройствен правилник на ИА &quot;ОП НОИР&quot;	Sep 13 2017 12:19PM	Неразгледан			Одобрен
3038	https://localhost:44300/PublicConsultation/View/2872	Неизпълнение на Член 50 от Директива 2013/59/Евратом на Съвета от 5 декември 2013 година	2872	Обществени консултации по проект на Закон за изменение и допълнение на Закона за безопасно използване на ядрената енергия	Sep 13 2017  6:11PM	Неразгледан			Одобрен
2104	https://localhost:44300/PublicConsultation/View/2188	Бизнес нуждата от промените в СК	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 12:30AM	Неразгледан			Одобрен
2102	https://localhost:44300/PublicConsultation/View/2188	Предложения за промени на СК 1	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 12:21AM	Неразгледан			Одобрен
2103	https://localhost:44300/PublicConsultation/View/2188	Предложения за промени на СК 2	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 12:21AM	Неразгледан			Одобрен
2147	https://localhost:44300/PublicConsultation/View/2188	Нека все пак завършим дискусията позитивно	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:59PM	Неразгледан			Одобрен
2148	https://localhost:44300/PublicConsultation/View/2188	...	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:59PM	Неразгледан			Одобрен
2146	https://localhost:44300/PublicConsultation/View/2188	Време за заключения и изводи	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:55PM	Неразгледан			Одобрен
2145	https://localhost:44300/PublicConsultation/View/2188	До г-н Дудев	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:53PM	Неразгледан			Одобрен
2143	https://localhost:44300/PublicConsultation/View/2188	...	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:48PM	Неразгледан			Одобрен
2144	https://localhost:44300/PublicConsultation/View/2188	...	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:48PM	Неразгледан			Одобрен
2142	https://localhost:44300/PublicConsultation/View/2188	До Лилиумф	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:44PM	Неразгледан			Одобрен
2141	https://localhost:44300/PublicConsultation/View/2188	До гн Дудев	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:34PM	Неразгледан			Одобрен
2140	https://localhost:44300/PublicConsultation/View/2188	И нека най-накрая нещата си дойдат по местата	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:27PM	Неразгледан			Одобрен
2139	https://localhost:44300/PublicConsultation/View/2188	До г-н Дудев (многознайкото)	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:18PM	Неразгледан			Одобрен
2138	https://localhost:44300/PublicConsultation/View/2188	До Хрисита	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 11:00PM	Неразгледан			Одобрен
2137	https://localhost:44300/PublicConsultation/View/2188	До властимира	2188	Закон за изменение и допълнение на Семейния кодекс	Sep 13 2016 10:56PM	Неразгледан			Одобрен
